                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.2212,                 0.7892,                 1.2114,                0.79499,                    0.7,                0.72071,                0.52823,                0.92618,                0.92457,                 1.1338,              0.0003368,              0.0003368,              0.0003368
                     86,                  1.227,                0.78854,                 1.2082,                0.81682,                0.69231,                0.72369,                0.52825,                0.92966,                0.91184,                 1.1336,               0.000317,               0.000317,               0.000317
                     87,                 1.2225,                0.77712,                 1.2092,                0.80181,                0.69231,                0.75168,                0.55408,                0.91551,                0.84973,                 1.1232,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.206,                0.76538,                 1.2057,                0.81302,                0.68462,                0.74277,                0.54013,                0.93292,                0.87239,                  1.133,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2008,                0.76779,                    1.2,                0.79492,                0.68579,                0.73045,                0.53589,                0.90999,                0.85308,                 1.1288,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2065,                0.76161,                 1.1992,                0.81277,                0.68462,                0.74411,                0.55529,                0.91085,                0.86102,                 1.1246,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1892,                0.69822,                  1.194,                0.80489,                0.69231,                 0.7365,                0.54554,                0.91471,                0.83499,                 1.1423,               0.000218,               0.000218,               0.000218
                     92,                 1.1771,                0.67729,                 1.1823,                 0.8161,                0.68276,                 0.7327,                 0.5569,                0.89416,                0.83805,                 1.1229,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1726,                 0.6755,                 1.1785,                0.81407,                0.68462,                0.73277,                0.54287,                0.91469,                0.85964,                 1.1303,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1651,                0.67042,                 1.1801,                0.78724,                0.70769,                0.74243,                0.55177,                0.90388,                0.83342,                 1.1221,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1584,                0.65722,                 1.1728,                0.80254,                0.69231,                0.72704,                0.53248,                0.92075,                0.84691,                 1.1393,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1601,                0.66139,                 1.1729,                0.79339,                0.68462,                0.73605,                0.54754,                0.89768,                0.82413,                 1.1318,               0.000119,               0.000119,               0.000119
                     97,                 1.1588,                0.65058,                 1.1702,                0.82593,                0.66923,                0.73709,                0.54009,                0.91675,                 0.8356,                 1.1352,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.1581,                0.64969,                   1.17,                0.80118,                0.67692,                0.73328,                0.54148,                0.90744,                0.84231,                  1.135,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1483,                0.64791,                  1.169,                 0.7739,                 0.7109,                0.74195,                0.54581,                0.91002,                0.83059,                 1.1422,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  1.143,                0.64791,                 1.1625,                0.79655,                0.69271,                0.74338,                0.54463,                0.91815,                0.83844,                 1.1441,               3.98e-05,               3.98e-05,               3.98e-05
